id,http_code_old,IPA
r_sicili:c31ec752-7d44-49b3-98c0-1530e19855a8,200,r_sicili
p_tp:d0854ecc-27a2-4831-aeb0-f509ad0a896f,000,p_tp
r_sicili:361a77a3-1d79-488c-ac38-7c038a29422c,200,r_sicili
p_tp:b910a2d9-63c8-4cb0-abba-55786a5a66a3,000,p_tp
r_sicili:1ee75101-1244-41c8-a688-eb9a34cbe091,200,r_sicili
p_tp:70b5f001-8493-41d7-b660-dbd31cc457fc,000,p_tp
r_sicili:a530bf4e-cf8c-494a-8537-ad52b23526c1,000,r_sicili
p_en:19673e78-4689-4da6-a95a-4c0991f4cb25,500,p_en
p_en:c289b9cf-59bf-448d-bc41-d756be5c5eb2,500,p_en
p_en:dc36c2dc-3fe8-41f6-a404-fe173de01272,500,p_en
r_sicili:5e932c20-d46d-464d-893b-d58f156da10e,200,r_sicili
r_sicili:eff12713-4094-4fa8-961b-ae73dfb0353a,000,r_sicili
p_en:c9ff5783-7f95-4083-8768-194e0fe68d66,500,p_en
r_sicili:e5ea1548-dd80-4e95-aa4f-baaf7a453d12,200,r_sicili
r_sicili:9712c7ad-ccf8-47fd-9453-8d84e412a862,200,r_sicili
r_sicili:9fe58f4e-2c43-4ee1-94d1-a3c875e847fd,000,r_sicili
p_en:a903c356-7942-4b8c-90bc-62696012c20e,500,p_en
p_en:bd4e8668-65e2-4e41-9b18-1229b534ebe2,500,p_en
p_en:0332366f-3408-4602-8894-c3c710753d77,500,p_en
p_en:71380bff-57c9-478d-8c6f-d42b758bc213,500,p_en
p_en:6ee21955-320b-4797-be8e-cbd1de4299a1,500,p_en
p_en:83c0a407-a7db-4b08-bb02-9adff8cf3a7a,500,p_en
p_tp:29b65028-9cea-40f0-bdd1-91e4c768e26d,403,p_tp
p_en:6aa3fe1c-ae94-440b-b017-284b8a5b808f,500,p_en
p_en:c69d3a68-24c5-40c6-9110-ce0a7c5753f1,500,p_en
r_sicili:06d626a3-b087-4763-a01b-e59c7f31f7b2,000,r_sicili
p_en:711a4030-2752-40cc-908e-75018da96f1a,500,p_en
p_en:cfed7979-d39e-42c0-978d-00c08be89916,500,p_en
p_en:d44e747b-0b1b-49d7-a215-ec0e3426f11d,500,p_en
p_en:8655efec-ac20-4f6c-bf6c-9d22675f2db8,500,p_en
c_a028:911619ad-4813-4f51-afe8-eea780ac04c3,200,c_a028
c_a028:b7f85eaf-727e-48bb-a368-eccb44bbaa99,200,c_a028
c_a028:6bede6d8-4d84-4034-ab26-06ae2e0dae24,200,c_a028
p_en:99ae5eb0-fb8e-404c-847b-75c27e4f8c54,500,p_en
c_a028:925f69dd-6a8f-49d1-be25-66db1b04f9cc,200,c_a028
p_en:62591b37-cebb-4ab0-bf03-397343cab069,500,p_en
r_sicili:569e06f4-1dbc-43fa-b9d3-d65c37a96009,500,r_sicili
p_en:d7dca676-08c0-4453-9a42-909139d3777c,500,p_en
p_en:6f2e5533-c78f-45c7-8a94-3e7a591c16b9,500,p_en
p_en:e60dabe7-9f34-4c64-8484-90aa0d0bea0e,500,p_en
c_a089:1f4f03b1-b67e-41d2-97a7-930054d37417,200,c_a089
r_sicili:81cef8f2-4e92-4c6d-9e7e-6e846f1a1595,000,r_sicili
r_sicili:8e8947bf-97cb-4ffa-840c-d7c6cc4bb325,000,r_sicili
r_sicili:2a5ff979-744a-40ac-bd4e-155b110c31b5,000,r_sicili
p_en:24f2e588-cfc9-4264-a1cd-839a1df802c5,500,p_en
p_en:bf6e8906-e866-400b-b729-57e4bbe9c26b,500,p_en
p_en:a3bde25e-77ba-4a38-96ff-d560f43cc973,500,p_en
p_en:6bcd424b-d58d-4438-b13b-a2e0f9c816b7,500,p_en
p_en:61766991-bfe3-4b81-934f-dbbfd50a6f48,500,p_en
p_en:e472bce5-9e18-4651-b7e3-cba3060480a5,500,p_en
p_en:b9814061-0bc2-4b9d-9c8f-63f8515776ea,500,p_en
p_tp:856d3ba8-5221-42cd-b34c-8b1be82df8ce,403,p_tp
r_sicili:86cabfac-e4fb-4379-9474-f2f41d57086c,000,r_sicili
r_sicili:5664436a-c0d4-40f3-ad38-92579aab523e,000,r_sicili
r_sicili:34ed52e9-76e2-4ad5-8dd9-5f4e131ce7a1,000,r_sicili
r_sicili:4f89dd82-9d57-46e2-b5f1-b45ece1361bc,000,r_sicili
p_tp:6829e0ae-6672-4d96-a835-27e829c66753,403,p_tp
p_tp:0b2fb5b6-c80f-4684-a66e-632a5508bfc8,403,p_tp
r_sicili:7c9b08a3-a71e-4f02-873b-5b2670e792ff,200,r_sicili
r_sicili:90fe1ac3-8980-4231-9c31-574764e750ae,000,r_sicili
r_sicili:1a394a77-4e94-4d21-8f00-06ec09e5ed5e,500,r_sicili
r_sicili:dad170f7-a536-4800-9623-3d7dadd528ab,500,r_sicili
r_sicili:1abb7650-899c-44d5-a29d-d22d38e0c7be,200,r_sicili
r_sicili:cc7b0cfb-8e57-472b-9451-301d70fb93ee,200,r_sicili
r_sicili:1d0ed6e1-89a4-45de-932b-e01a8997e982,200,r_sicili
r_sicili:a5e7786e-8820-410f-92ed-45ee19d9ff93,200,r_sicili
p_tp:62786c33-37be-4e26-a819-08221815afdb,403,p_tp
p_tp:7d02351c-7971-43fd-9882-9ba1cb8f2890,403,p_tp
r_sicili:b49d3ac5-b913-4fdb-b606-e77be030f5ec,000,r_sicili
